Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
Sobic.001G004500	37	0	103	0	0.0	10	0	27	0	0.0	47	0	166	0	0.0	94	0	296	0	0.0
Sobic.001G004550	8	1	121	5	0.0413223140496	7	0	107	2	0.018691588785	35	0	515	4	0.00776699029126	50	1	743	11	0.0148048452221
Sobic.001G004600	23	0	70	1	0.0142857142857	16	0	53	1	0.0188679245283	36	0	68	0	0.0	75	0	191	2	0.0104712041885
Sobic.001G004700	26	0	114	0	0.0	21	0	80	0	0.0	40	0	140	0	0.0	87	0	334	0	0.0
Sobic.001G004800	28	0	110	0	0.0	20	0	77	1	0.012987012987	50	0	213	1	0.00469483568075	98	0	400	2	0.005
Sobic.001G005000	45	0	201	0	0.0	44	0	195	0	0.0	82	0	310	0	0.0	171	0	706	0	0.0
Sobic.001G005100	26	0	111	0	0.0	24	0	103	0	0.0	41	0	157	0	0.0	91	0	371	0	0.0
Sobic.001G005200	14	0	134	1	0.00746268656716	19	0	162	0	0.0	22	0	214	1	0.00467289719626	55	0	510	2	0.00392156862745
Sobic.001G005300	6	0	26	0	0.0	22	0	96	0	0.0	52	0	205	1	0.00487804878049	80	0	327	1	0.00305810397554
Sobic.001G005400	13	0	36	0	0.0	11	0	43	0	0.0	11	0	44	0	0.0	35	0	123	0	0.0
Sobic.001G005500	34	0	189	0	0.0	19	0	78	0	0.0	46	0	211	1	0.00473933649289	99	0	478	1	0.00209205020921
Sobic.001G005600	6	0	73	1	0.013698630137	11	0	111	0	0.0	50	0	439	1	0.00227790432802	67	0	623	2	0.00321027287319
Sobic.001G005700	19	0	70	0	0.0	14	0	48	0	0.0	49	0	153	1	0.00653594771242	82	0	271	1	0.00369003690037
Sobic.001G005800	8	0	74	0	0.0	20	0	205	1	0.00487804878049	40	0	405	1	0.00246913580247	68	0	684	2	0.00292397660819
Sobic.001G005900	8	0	34	1	0.0294117647059	11	0	51	1	0.0196078431373	29	0	112	0	0.0	48	0	197	2	0.010152284264
Sobic.001G006000	12	0	88	0	0.0	26	0	177	1	0.00564971751412	45	0	214	0	0.0	83	0	479	1	0.00208768267223
Sobic.001G006101	28	0	136	0	0.0	16	0	88	1	0.0113636363636	44	0	264	1	0.00378787878788	88	0	488	2	0.00409836065574
Sobic.001G006201	26	0	136	0	0.0	16	0	88	0	0.0	46	0	257	0	0.0	88	0	481	0	0.0
Sobic.001G006300	8	0	103	0	0.0	11	0	136	0	0.0	29	0	366	1	0.00273224043716	48	0	605	1	0.00165289256198
Sobic.001G006400	12	11	87	65	0.747126436782	11	0	83	0	0.0	42	0	330	0	0.0	65	11	500	65	0.13
Sobic.001G006500	38	0	215	0	0.0	18	0	97	0	0.0	42	0	237	2	0.0084388185654	98	0	549	2	0.00364298724954
Sobic.001G006600	8	0	118	0	0.0	9	0	132	0	0.0	50	0	644	1	0.00155279503106	67	0	894	1	0.00111856823266
Sobic.001G006700	6	6	71	60	0.845070422535	7	0	94	1	0.0106382978723	40	0	603	2	0.00331674958541	53	6	768	63	0.08203125
Sobic.001G006800	22	0	176	1	0.00568181818182	11	0	92	0	0.0	57	0	399	0	0.0	90	0	667	1	0.00149925037481
Sobic.001G007000	42	0	147	0	0.0	35	0	134	0	0.0	33	0	108	0	0.0	110	0	389	0	0.0
Sobic.001G007100	25	0	202	0	0.0	9	0	56	1	0.0178571428571	38	0	180	0	0.0	72	0	438	1	0.00228310502283
Sobic.001G007200	6	4	52	37	0.711538461538	15	0	118	1	0.00847457627119	52	0	453	1	0.00220750551876	73	4	623	39	0.0626003210273
Sobic.001G007400	13	8	86	58	0.674418604651	15	0	108	0	0.0	66	0	419	1	0.00238663484487	94	8	613	59	0.0962479608483
Sobic.001G007500	21	0	53	0	0.0	16	0	50	0	0.0	56	0	156	0	0.0	93	0	259	0	0.0
Sobic.001G007600	17	0	72	1	0.0138888888889	14	0	58	1	0.0172413793103	18	0	92	0	0.0	49	0	222	2	0.00900900900901
Sobic.001G007700	27	0	129	0	0.0	17	0	62	0	0.0	30	0	117	0	0.0	74	0	308	0	0.0
Sobic.001G007800	29	0	119	1	0.00840336134454	31	0	138	1	0.00724637681159	72	0	313	1	0.00319488817891	132	0	570	3	0.00526315789474
Sobic.001G007900	13	0	23	1	0.0434782608696	11	0	16	0	0.0	20	0	32	0	0.0	44	0	71	1	0.0140845070423
Sobic.001G008100	6	4	38	38	1.0	13	0	81	0	0.0	56	0	397	0	0.0	75	4	516	38	0.0736434108527
Sobic.001G008200	22	0	121	0	0.0	16	0	88	0	0.0	35	0	155	0	0.0	73	0	364	0	0.0
Sobic.001G008400	6	0	70	0	0.0	17	0	171	0	0.0	47	0	393	2	0.00508905852417	70	0	634	2	0.00315457413249
Sobic.001G008500	2	0	5	0	0.0	4	0	13	1	0.0769230769231	10	0	26	0	0.0	16	0	44	1	0.0227272727273
Sobic.001G008600	24	0	136	0	0.0	15	0	95	0	0.0	57	0	351	0	0.0	96	0	582	0	0.0
Sobic.001G008700	2	2	28	26	0.928571428571	12	0	130	1	0.00769230769231	41	0	460	1	0.00217391304348	55	2	618	28	0.0453074433657
Sobic.001G008800	0	0	0	0	nan	0	0	0	0	nan	1	0	2	0	0.0	1	0	2	0	0.0
Sobic.001G008900	12	0	65	0	0.0	15	0	65	0	0.0	41	0	84	0	0.0	68	0	214	0	0.0
Sobic.001G009000	12	0	46	0	0.0	17	0	69	1	0.0144927536232	56	0	257	1	0.00389105058366	85	0	372	2	0.00537634408602
Sobic.001G009100	10	0	105	2	0.0190476190476	26	0	278	2	0.00719424460432	38	0	386	2	0.00518134715026	74	0	769	6	0.00780234070221
Sobic.001G009200	12	10	99	56	0.565656565657	18	0	195	0	0.0	38	1	406	6	0.0147783251232	68	11	700	62	0.0885714285714
Sobic.001G009300	25	0	80	0	0.0	12	0	44	0	0.0	54	0	191	0	0.0	91	0	315	0	0.0
Sobic.001G009400	1	0	4	0	0.0	0	0	0	0	nan	0	0	0	0	nan	1	0	4	0	0.0
Sobic.001G009500	8	0	83	0	0.0	18	0	140	0	0.0	49	0	305	0	0.0	75	0	528	0	0.0
Sobic.001G009600	46	0	164	1	0.00609756097561	20	0	62	0	0.0	25	0	51	0	0.0	91	0	277	1	0.00361010830325
Sobic.001G009700	32	0	171	0	0.0	10	0	39	0	0.0	29	0	87	0	0.0	71	0	297	0	0.0
Sobic.001G009800	8	0	69	0	0.0	9	0	81	0	0.0	46	0	425	1	0.00235294117647	63	0	575	1	0.00173913043478
Sobic.001G010100	18	0	62	0	0.0	19	0	71	0	0.0	48	0	171	1	0.00584795321637	85	0	304	1	0.00328947368421
Sobic.001G010200	10	4	85	26	0.305882352941	35	0	258	1	0.00387596899225	91	0	678	2	0.00294985250737	136	4	1021	29	0.0284035259549
Sobic.001G010300	6	4	62	26	0.41935483871	17	0	169	1	0.00591715976331	46	0	528	2	0.00378787878788	69	4	759	29	0.038208168643
Sobic.001G010400	18	16	150	120	0.8	29	0	253	0	0.0	38	0	330	1	0.0030303030303	85	16	733	121	0.165075034106
Sobic.001G010500	8	6	60	33	0.55	13	0	97	0	0.0	49	0	380	1	0.00263157894737	70	6	537	34	0.0633147113594
Sobic.001G010600	6	0	52	0	0.0	9	0	92	0	0.0	51	0	477	0	0.0	66	0	621	0	0.0
Sobic.001G010700	14	0	45	0	0.0	22	0	73	0	0.0	49	0	105	0	0.0	85	0	223	0	0.0
Sobic.001G010800	16	0	82	0	0.0	18	0	102	0	0.0	20	0	67	1	0.0149253731343	54	0	251	1	0.00398406374502
Sobic.001G010900	6	6	92	81	0.880434782609	12	0	173	0	0.0	43	0	612	0	0.0	61	6	877	81	0.0923603192702
Sobic.001G011000	17	0	34	0	0.0	3	0	6	0	0.0	2	0	4	0	0.0	22	0	44	0	0.0
Sobic.001G011200	8	6	68	51	0.75	27	0	212	0	0.0	44	0	340	0	0.0	79	6	620	51	0.0822580645161
Sobic.001G011300	12	0	61	0	0.0	8	0	42	0	0.0	19	0	54	0	0.0	39	0	157	0	0.0
Sobic.001G011400	20	0	71	0	0.0	11	0	44	0	0.0	51	0	102	2	0.0196078431373	82	0	217	2	0.00921658986175
Sobic.001G011600	12	2	99	21	0.212121212121	14	0	157	1	0.00636942675159	59	0	612	2	0.00326797385621	85	2	868	24	0.0276497695853
Sobic.001G011700	6	2	71	21	0.295774647887	14	0	157	1	0.00636942675159	52	0	594	2	0.003367003367	72	2	822	24	0.029197080292
Sobic.001G012000	30	0	141	0	0.0	18	0	89	1	0.0112359550562	43	0	161	0	0.0	91	0	391	1	0.00255754475703
Sobic.001G012100	6	0	15	0	0.0	2	0	6	0	0.0	8	0	20	0	0.0	16	0	41	0	0.0
